start_time,weather,trip_length
2017-11-25 16:00:00,good,40.17
2017-11-25 14:00:00,good,32.0
2017-11-25 12:00:00,good,25.72
2017-11-04 10:00:00,good,41.87
2017-11-11 07:00:00,good,24.0
2017-11-11 04:00:00,good,22.0
2017-11-04 16:00:00,bad,49.48
2017-11-18 11:00:00,good,38.0
2017-11-11 14:00:00,good,41.0
2017-11-11 12:00:00,good,34.0
2017-11-18 06:00:00,good,25.0
2017-11-04 11:00:00,good,34.0
2017-11-11 08:00:00,good,24.5
2017-11-04 08:00:00,good,25.77
2017-11-11 16:00:00,good,35.0
2017-11-25 13:00:00,good,1.0
2017-11-04 12:00:00,good,44.0
2017-11-25 10:00:00,good,25.03
2017-11-11 12:00:00,good,31.92
2017-11-04 12:00:00,good,46.15
2017-11-11 13:00:00,good,37.5
2017-11-11 04:00:00,good,21.0
2017-11-18 14:00:00,good,47.1
2017-11-04 14:00:00,good,56.0
2017-11-04 14:00:00,good,53.0
2017-11-25 20:00:00,good,35.0
2017-11-04 10:00:00,good,30.0
2017-11-11 12:00:00,good,38.15
2017-11-04 08:00:00,good,24.9
2017-11-11 11:00:00,good,26.0
2017-11-18 12:00:00,bad,33.0
2017-11-11 13:00:00,good,35.25
2017-11-11 10:00:00,good,25.1
2017-11-04 12:00:00,good,43.0
2017-11-04 17:00:00,bad,41.0
2017-11-11 09:00:00,good,27.0
2017-11-04 06:00:00,good,19.38
2017-11-04 05:00:00,good,25.55
2017-11-11 04:00:00,good,24.62
2017-11-11 19:00:00,good,33.07
2017-11-04 13:00:00,good,49.0
2017-11-04 07:00:00,good,22.0
2017-11-04 06:00:00,good,24.0
2017-11-11 06:00:00,good,21.0
2017-11-11 08:00:00,good,26.0
2017-11-04 09:00:00,good,28.05
2017-11-11 05:00:00,good,22.38
2017-11-18 06:00:00,good,29.03
2017-11-04 09:00:00,good,26.0
2017-11-11 08:00:00,good,22.63
2017-11-11 12:00:00,good,33.0
2017-11-04 16:00:00,bad,46.0
2017-11-18 12:00:00,bad,41.0
2017-11-25 12:00:00,good,23.0
2017-11-18 10:00:00,bad,24.0
2017-11-25 14:00:00,good,27.0
2017-11-11 08:00:00,good,23.58
2017-11-25 05:00:00,good,22.08
2017-11-11 19:00:00,good,32.0
2017-11-18 06:00:00,good,35.0
2017-11-11 08:00:00,good,22.0
2017-11-11 10:00:00,good,21.0
2017-11-11 08:00:00,good,20.0
2017-11-25 08:00:00,good,22.0
2017-11-04 18:00:00,bad,39.38
2017-11-11 18:00:00,good,38.0
2017-11-25 10:00:00,good,22.0
2017-11-04 06:00:00,good,19.0
2017-11-11 18:00:00,good,42.0
2017-11-18 16:00:00,bad,50.0
2017-11-11 08:00:00,good,19.0
2017-11-04 14:00:00,good,51.4
2017-11-11 08:00:00,good,23.0
2017-11-04 09:00:00,good,23.0
2017-11-11 12:00:00,good,36.88
2017-11-04 16:00:00,bad,52.0
2017-11-11 15:00:00,good,80.0
2017-11-04 05:00:00,good,21.0
2017-11-11 06:00:00,good,22.43
2017-11-18 11:00:00,good,47.38
2017-11-11 10:00:00,good,23.92
2017-11-11 17:00:00,good,40.43
2017-11-04 09:00:00,good,29.0
2017-11-25 07:00:00,good,39.0
2017-11-18 05:00:00,good,34.58
2017-11-04 04:00:00,good,22.22
2017-11-04 11:00:00,good,42.9
2017-11-11 12:00:00,good,40.68
2017-11-04 14:00:00,good,55.0
2017-11-18 07:00:00,bad,25.18
2017-11-04 10:00:00,good,41.0
2017-11-11 18:00:00,good,37.0
2017-11-04 10:00:00,good,42.52
2017-11-11 07:00:00,good,20.0
2017-11-11 16:00:00,good,34.37
2017-11-04 12:00:00,good,49.98
2017-11-04 08:00:00,good,27.95
2017-11-04 06:00:00,good,19.62
2017-11-11 06:00:00,good,24.58
2017-11-04 18:00:00,bad,33.0
2017-11-04 15:00:00,good,53.35
2017-11-25 18:00:00,good,46.0
2017-11-11 09:00:00,good,23.0
2017-11-11 07:00:00,good,23.0
2017-11-18 08:00:00,bad,22.0
2017-11-25 08:00:00,good,21.28
2017-11-11 04:00:00,good,20.22
2017-11-18 13:00:00,bad,67.4
2017-11-04 21:00:00,good,28.0
2017-11-11 11:00:00,good,34.57
2017-11-04 16:00:00,bad,46.37
2017-11-11 16:00:00,good,43.18
2017-11-04 14:00:00,good,52.0
2017-11-11 08:00:00,good,21.0
2017-11-11 10:00:00,good,24.0
2017-11-04 14:00:00,good,54.0
2017-11-04 19:00:00,good,31.15
2017-11-11 06:00:00,good,20.3
2017-11-11 11:00:00,good,27.0
2017-11-11 10:00:00,good,23.0
2017-11-11 07:00:00,good,22.0
2017-11-11 13:00:00,good,35.38
2017-11-11 07:00:00,good,23.07
2017-11-04 13:00:00,good,51.0
2017-11-18 15:00:00,good,58.0
2017-11-11 12:00:00,good,34.52
2017-11-18 12:00:00,bad,50.4
2017-11-11 11:00:00,good,23.0
2017-11-25 06:00:00,good,20.0
2017-11-18 13:00:00,bad,55.0
2017-11-11 13:00:00,good,35.0
2017-11-25 13:00:00,good,26.0
2017-11-04 12:00:00,good,46.0
2017-11-11 17:00:00,good,41.0
2017-11-11 10:00:00,good,29.0
2017-11-11 06:00:00,good,27.78
2017-11-18 18:00:00,good,34.27
2017-11-11 10:00:00,good,24.55
2017-11-11 14:00:00,good,39.0
2017-11-04 16:00:00,bad,53.0
2017-11-04 11:00:00,good,37.0
2017-11-18 14:00:00,good,59.0
2017-11-04 14:00:00,good,46.3
2017-11-18 06:00:00,good,23.67
2017-11-11 21:00:00,good,32.0
2017-11-04 14:00:00,good,58.0
2017-11-25 20:00:00,good,33.0
2017-11-18 10:00:00,bad,34.25
2017-11-11 12:00:00,good,37.33
2017-11-11 15:00:00,good,39.67
2017-11-11 17:00:00,good,36.0
2017-11-04 08:00:00,good,25.65
2017-11-25 10:00:00,good,26.52
2017-11-18 14:00:00,good,43.13
2017-11-11 03:00:00,good,19.37
2017-11-11 09:00:00,good,0.0
2017-11-18 09:00:00,bad,21.0
2017-11-18 13:00:00,bad,49.0
2017-11-18 16:00:00,bad,39.0
2017-11-18 12:00:00,bad,37.0
2017-11-11 07:00:00,good,0.0
2017-11-04 22:00:00,good,23.0
2017-11-04 12:00:00,good,37.0
2017-11-25 11:00:00,good,19.0
2017-11-11 10:00:00,good,20.65
2017-11-04 08:00:00,good,23.0
2017-11-04 14:00:00,good,47.0
2017-11-04 14:00:00,good,51.0
2017-11-04 16:00:00,bad,52.17
2017-11-18 15:00:00,good,47.95
2017-11-18 12:00:00,bad,48.9
2017-11-04 16:00:00,bad,54.5
2017-11-18 19:00:00,good,31.0
2017-11-11 11:00:00,good,34.23
2017-11-11 16:00:00,good,38.22
2017-11-11 06:00:00,good,25.0
2017-11-04 15:00:00,good,48.0
2017-11-25 09:00:00,good,24.55
2017-11-25 04:00:00,good,23.07
2017-11-04 10:00:00,good,42.08
2017-11-04 08:00:00,good,22.05
2017-11-04 12:00:00,good,36.0
2017-11-18 08:00:00,bad,25.0
2017-11-25 05:00:00,good,24.78
2017-11-04 06:00:00,good,17.0
2017-11-11 07:00:00,good,19.0
2017-11-04 10:00:00,good,31.38
2017-11-11 14:00:00,good,37.08
2017-11-18 11:00:00,good,40.25
2017-11-04 14:00:00,good,56.85
2017-11-18 12:00:00,bad,42.85
2017-11-18 00:00:00,bad,8.0
2017-11-18 19:00:00,good,0.0
2017-11-11 10:00:00,good,23.57
2017-11-11 12:00:00,good,33.02
2017-11-04 11:00:00,good,36.0
2017-11-11 15:00:00,good,40.0
2017-11-11 20:00:00,good,25.0
2017-11-18 14:00:00,good,61.0
2017-11-25 14:00:00,good,29.0
2017-11-04 18:00:00,bad,43.0
2017-11-11 16:00:00,good,49.0
2017-11-11 09:00:00,good,21.0
2017-11-18 15:00:00,good,60.0
2017-11-18 17:00:00,bad,35.0
2017-11-18 07:00:00,bad,22.77
2017-11-04 10:00:00,good,28.62
2017-11-04 12:00:00,good,40.68
2017-11-04 10:00:00,good,41.32
2017-11-11 10:00:00,good,23.98
2017-11-04 06:00:00,good,20.12
2017-11-11 13:00:00,good,28.0
2017-11-18 06:00:00,good,24.0
2017-11-18 07:00:00,bad,26.0
2017-11-04 10:00:00,good,35.2
2017-11-11 15:00:00,good,36.0
2017-11-04 07:00:00,good,20.0
2017-11-04 11:00:00,good,38.8
2017-11-04 05:00:00,good,27.0
2017-11-04 05:00:00,good,20.28
2017-11-11 08:00:00,good,20.62
2017-11-11 07:00:00,good,17.9
2017-11-18 11:00:00,good,35.33
2017-11-18 08:00:00,bad,23.4
2017-11-11 10:00:00,good,20.72
2017-11-18 05:00:00,good,20.43
2017-11-11 11:00:00,good,35.0
2017-11-11 05:00:00,good,22.0
2017-11-25 05:00:00,good,18.72
2017-11-11 05:00:00,good,25.07
2017-11-04 06:00:00,good,23.98
2017-11-18 16:00:00,bad,46.85
2017-11-18 11:00:00,good,34.9
2017-11-11 06:00:00,good,23.83
2017-11-11 10:00:00,good,23.68
2017-11-18 12:00:00,bad,50.43
2017-11-04 10:00:00,good,33.43
2017-11-11 06:00:00,good,23.58
2017-11-18 13:00:00,bad,56.5
2017-11-18 14:00:00,good,49.9
2017-11-11 10:00:00,good,24.6
2017-11-04 17:00:00,bad,44.0
2017-11-04 07:00:00,good,23.0
2017-11-25 12:00:00,good,22.2
2017-11-04 14:00:00,good,46.0
2017-11-04 17:00:00,bad,49.0
2017-11-25 12:00:00,good,21.0
2017-11-04 02:00:00,good,49.27
2017-11-11 04:00:00,good,21.73
2017-11-25 10:00:00,good,27.93
2017-11-11 06:00:00,good,23.0
2017-11-18 12:00:00,bad,45.0
2017-11-04 11:00:00,good,45.0
2017-11-04 06:00:00,good,48.8
2017-11-11 06:00:00,good,55.53
2017-11-04 13:00:00,good,50.13
2017-11-18 12:00:00,bad,83.0
2017-11-18 04:00:00,good,28.95
2017-11-18 06:00:00,good,23.0
2017-11-04 05:00:00,good,22.75
2017-11-25 06:00:00,good,47.37
2017-11-11 11:00:00,good,28.0
2017-11-11 10:00:00,good,31.2
2017-11-04 18:00:00,bad,37.58
2017-11-11 06:00:00,good,22.0
2017-11-04 16:00:00,bad,43.67
2017-11-04 12:00:00,good,45.67
2017-11-11 06:00:00,good,24.97
2017-11-11 09:00:00,good,24.05
2017-11-11 10:00:00,good,20.0
2017-11-04 12:00:00,good,41.0
2017-11-18 06:00:00,good,28.0
2017-11-11 08:00:00,good,23.4
2017-11-18 15:00:00,good,61.0
2017-11-04 16:00:00,bad,49.68
2017-11-25 07:00:00,good,22.72
2017-11-04 09:00:00,good,30.65
2017-11-04 06:00:00,good,25.0
2017-11-11 07:00:00,good,25.0
2017-11-18 11:00:00,good,40.2
2017-11-18 14:00:00,good,63.0
2017-11-11 18:00:00,good,65.0
2017-11-04 12:00:00,good,48.28
2017-11-18 06:00:00,good,20.02
2017-11-04 10:00:00,good,40.73
2017-11-11 12:00:00,good,31.0
2017-11-04 18:00:00,bad,37.0
2017-11-04 16:00:00,bad,49.92
2017-11-25 11:00:00,good,27.38
2017-11-11 11:00:00,good,25.5
2017-11-11 06:00:00,good,24.02
2017-11-04 11:00:00,good,40.42
2017-11-11 05:00:00,good,23.1
2017-11-25 18:00:00,good,38.0
2017-11-18 13:00:00,bad,55.28
2017-11-25 14:00:00,good,29.3
2017-11-04 14:00:00,good,50.0
2017-11-04 06:00:00,good,24.93
2017-11-18 14:00:00,good,49.0
2017-11-11 11:00:00,good,29.0
2017-11-04 12:00:00,good,50.95
2017-11-04 11:00:00,good,43.52
2017-11-04 14:00:00,good,64.78
2017-11-04 12:00:00,good,40.0
2017-11-25 09:00:00,good,22.0
2017-11-11 09:00:00,good,27.05
2017-11-11 10:00:00,good,25.9
2017-11-25 06:00:00,good,23.18
2017-11-04 07:00:00,good,19.0
2017-11-18 06:00:00,good,29.0
2017-11-11 10:00:00,good,26.0
2017-11-04 16:00:00,bad,48.0
2017-11-25 16:00:00,good,27.0
2017-11-11 17:00:00,good,34.0
2017-11-18 08:00:00,bad,24.0
2017-11-25 15:00:00,good,27.87
2017-11-11 16:00:00,good,35.68
2017-11-04 17:00:00,bad,48.0
2017-11-11 17:00:00,good,37.85
2017-11-11 18:00:00,good,43.43
2017-11-11 12:00:00,good,30.0
2017-11-04 06:00:00,good,25.78
2017-11-11 17:00:00,good,43.0
2017-11-11 14:00:00,good,38.0
2017-11-25 18:00:00,good,69.0
2017-11-25 11:00:00,good,124.0
2017-11-11 16:00:00,good,40.0
2017-11-04 16:00:00,bad,43.63
2017-11-04 05:00:00,good,22.0
2017-11-18 16:00:00,bad,47.0
2017-11-04 14:00:00,good,49.0
2017-11-11 15:00:00,good,37.9
2017-11-04 07:00:00,good,24.0
2017-11-11 10:00:00,good,28.48
2017-11-04 12:00:00,good,46.02
2017-11-11 14:00:00,good,40.0
2017-11-11 06:00:00,good,22.57
2017-11-04 06:00:00,good,24.55
2017-11-11 09:00:00,good,20.0
2017-11-11 11:00:00,good,26.6
2017-11-04 19:00:00,good,33.95
2017-11-25 15:00:00,good,34.0
2017-11-11 20:00:00,good,33.0
2017-11-11 04:00:00,good,27.0
2017-11-18 08:00:00,bad,28.0
2017-11-04 08:00:00,good,28.1
2017-11-11 07:00:00,good,21.02
2017-11-18 12:00:00,bad,44.0
2017-11-11 11:00:00,good,19.0
2017-11-11 14:00:00,good,34.0
2017-11-11 11:00:00,good,24.0
2017-11-04 12:00:00,good,42.0
2017-11-04 16:00:00,bad,50.0
2017-11-18 10:00:00,bad,26.83
2017-11-25 12:00:00,good,28.47
2017-11-18 05:00:00,good,23.7
2017-11-25 12:00:00,good,25.0
2017-11-18 10:00:00,bad,29.0
2017-11-04 14:00:00,good,49.7
2017-11-18 07:00:00,bad,22.03
2017-11-04 16:00:00,bad,48.23
2017-11-25 07:00:00,good,20.28
2017-11-04 17:00:00,bad,39.0
2017-11-11 17:00:00,good,44.0
2017-11-11 06:00:00,good,26.0
